set	Minutos	Zfin	SD_Zfin	 Zsup	SD_Zsup
14	917	65.59595825	2.94107447	33.46207009	2.029761469
14	918	78.4246631	9.08539402	46.97159588	5.689145489
14	919	96.69710626	11.60300665	53.72463771	7.849885173
14	920	77.38143311	3.373707941	32.98761114	1.846135292
14	921	79.04573	0.516659532	33.6804399	2.178560261
14	922	77.9131962	2.721400992	32.1612615	2.810140724
14	923	77.85839619	4.008137768	33.41225182	5.541652021
14	924	82.9730655	0.191582766	37.6899754	1.995169316
14	925	84.28217733	1.691517986	35.87548533	4.72209169
14	926	129.9990053	17.67064577	43.334378	1.160089526
14	927	129.7096571	18.69040957	43.4257115	0.421850789
14	928	88.51395717	1.659823598	42.02526633	0.210925106
14	929	86.6264005	0.753154203	41.8273775	0.345782566
14	930	85.19551117	1.999901973	40.8683768	1.840316451
14	931	90.91907	0	43.63882283	0.546984485
14	932	86.4741785	0.838412006	43.8641118	2.239438069
14	933	93.35462667	0.459701339	39.15587625	4.631383329
14	934	88.3982684	5.545674007	35.774004	4.466421175
14	935	84.090968	9.414478794	32.68849363	5.361817559
15	1242	57.276699	11.02475668	21.43002267	1.241799234
15	1243	51.2803822	0.894880774	23.69770133	1.276054742
15	1244	57.27794117	1.34439078	20.044366	#¡DIV/0!
15	1245	57.12571864	1.839409923	16.93903117	2.05042921
15	1246	60.04838695	1.354044605	14.7287634	2.774649196
15	1247	56.3950516	0.661422921	20.03218847	1.819433537
15	1248	56.79082967	1.042428336	20.53147744	1.017045518
15	1249	67.37697744	5.118832045	24.35878119	4.532740948
15	1250	58.91179372	11.59179525	34.18581808	4.764294791
15	1251	50.98354888	5.334492866	21.44481167	1.792865998
15	1252	50.30615967	5.41979802	15.90391933	0.210925106
15	1253	34.657707		14.19903	0
15	1254	40.17830256	4.476992331	12.920362	0
15	1255	68.9533915	9.071938345	11.641695	#¡DIV/0!
15	1256	97.251516	6.709739184	11.641695	#¡DIV/0!
15	1257	79.04573017	14.58271207	12.1896954	0.1826665
15	1258	59.987498	0.105462842	11.58080633	0.421850789
15	1259	58.039053	0	5.248358	0
15	1300	57.673719	0.563016533	3.933158	0.650970588
15	1301	63.80610314	1.71310251	8.7646935	0.405037315
15	1303	61.66070167	7.242805193	18.081132	2.898376944
16	646	96.46377429	11.71781711	40.76470718	8.078310831
16	647	85.2107335	0.524670577	26.02670288	3.885695984
